typecode,aircraft_type,airliner_type,aircraft_category,payload
B748,Boeing 747,Jumbo Passenger Jet,Wide-body,Passenger
B752,Boeing 757,Mid-Size Passenger Jet,Narrow-body,Passenger
B753,Boeing 757,Mid-Size Passenger Jet,Narrow-body,Passenger
B762,Boeing 767,Mid-Size Passenger Jet,Wide-body,Passenger
B763,Boeing 767,Mid-Size Passenger Jet,Wide-body,Passenger
B764,Boeing 767,Mid-Size Passenger Jet,Wide-body,Passenger
B772,Boeing 777,Mid-Size Passenger Jet,Wide-body,Passenger
B773,Boeing 777,Mid-Size Passenger Jet,Wide-body,Passenger
B77F,Boeing 777,Mid-Size Passenger Jet,Wide-body,Passenger
B77L,Boeing 777,Mid-Size Passenger Jet,Wide-body,Passenger
B77W,Boeing 777,Mid-Size Passenger Jet,Wide-body,Passenger
B783,Boeing 787,Mid-Size Passenger Jet,Wide-body,Passenger
B788,Boeing 787,Mid-Size Passenger Jet,Wide-body,Passenger
B789,Boeing 787,Mid-Size Passenger Jet,Wide-body,Passenger
B78X,Boeing 787,Mid-Size Passenger Jet,Wide-body,Passenger
BALL,Balloon,Balloon,Ballon,
BCS1,Airbuss A220,Light Passenger Jet,Narrow-body,Passenger
BCS3,Airbuss A220,Light Passenger Jet,Narrow-body,Passenger
BE20,Beechcraft 200,Passenger Turboprop,Turboprop,Passenger
BE65,Beechcraft Queen Air,Twin Turboprop,Turboprop,Passenger
BE99,Beechcraft Queen Air,Twin Turboprop,Turboprop,Passenger
BLCF,Boeing Dreamlifter,Cargo,Heavy Transport,
C130,Lockheed C130,Millitary Turboprop,Millitary Transport,
C182,Cessna 182,Private Single Engine,Turboprop,Passenger
C208,Cessna 208,Private Single Engine,Turboprop,Passenger
C25A,Cessna CitationJet,Light Business Jet,Narrow-body,Passenger
C25B,Cessna CitationJet,Light Business Jet,Narrow-body,Passenger
C25C,Cessna CitationJet,Light Business Jet,Narrow-body,Passenger
C402,Cessna 402,Twin Turboprop,Turboprop,Passenger
C510,Cessna Citation Mustang,Very Light Jet,Narrow-body,Passenger
C525,Cessna CitationJet,Light Business Jet,Narrow-body,Passenger
C560,Cessna Citation V,Very Light Jet,Narrow-body,Passenger
C56X,Cessna Citation V,Very Light Jet,Narrow-body,Passenger
C680,Cessna Citation Sovereign,Mid-Size Business Jet,Narrow-body,Passenger
C68A,Cessna Citation Sovereign,Mid-Size Business Jet,Narrow-body,Passenger
C750,Cessna Citation X,Mid-Size Business Jet,Narrow-body,Passenger
CL35,Bombardier Challenger 350,Mid-Size Business Jet,Narrow-body,Passenger
CL60,Bombardier Challenger 600,Mid-Size Business Jet,Narrow-body,Passenger
CL61,Bombardier Challenger 600,Mid-Size Business Jet,Narrow-body,Passenger
